feature_group,context,split_name,candidate_rows,roc_auc,pr_auc,brier_score
existing_rule_scores,village_vote_candidate_states,validation,36,0.6634615384615384,1.0,0.18411625172231016
existing_rule_scores,village_vote_candidate_states,final_test,56,0.7311522048364154,0.8940627517884321,0.19274750509673064
speech_features,village_vote_candidate_states,validation,36,0.5,1.0,0.22180768162856057
speech_features,village_vote_candidate_states,final_test,56,0.5,1.0,0.23123721767260844
voting_history_features,village_vote_candidate_states,validation,36,0.5,1.0,0.22180768162856057
voting_history_features,village_vote_candidate_states,final_test,56,0.5,1.0,0.23123721767260844
accusation_defense_features,village_vote_candidate_states,validation,36,0.5,1.0,0.22180768162856057
accusation_defense_features,village_vote_candidate_states,final_test,56,0.5,1.0,0.23123721767260844
trust_relationship_features,village_vote_candidate_states,validation,36,0.5,1.0,0.22180768162856057
trust_relationship_features,village_vote_candidate_states,final_test,56,0.5,1.0,0.23123721767260844
spatial_position_features,village_vote_candidate_states,validation,36,0.4346153846153846,0.2919556720116165,0.22208165781792472
spatial_position_features,village_vote_candidate_states,final_test,56,0.4359886201991465,0.35786322551597255,0.23286381005536497
search_coverage_features,village_vote_candidate_states,validation,36,0.5,1.0,0.22180768162856057
search_coverage_features,village_vote_candidate_states,final_test,56,0.5,1.0,0.23123721767260844
game_state_features,village_vote_candidate_states,validation,36,0.6346153846153846,0.6750546202462678,0.18577886582421033
game_state_features,village_vote_candidate_states,final_test,56,0.6301564722617354,0.8107332261955303,0.19728492263075137
role_claim_features,village_vote_candidate_states,validation,36,0.5,1.0,0.22180768162856057
role_claim_features,village_vote_candidate_states,final_test,56,0.5,1.0,0.23123721767260844
risk_preference_features,village_vote_candidate_states,validation,36,0.5,1.0,0.22180768162856057
risk_preference_features,village_vote_candidate_states,final_test,56,0.5,1.0,0.23123721767260844
base_scores_only,village_vote_candidate_states,validation,36,0.6634615384615384,1.0,0.18411625172231016
base_scores_only,village_vote_candidate_states,final_test,56,0.7311522048364154,0.8940627517884321,0.19274750509673064
behavior_only,village_vote_candidate_states,validation,36,0.5,1.0,0.22180768162856057
behavior_only,village_vote_candidate_states,final_test,56,0.5,1.0,0.23123721767260844
base_plus_behavior,village_vote_candidate_states,validation,36,0.6634615384615384,1.0,0.18547166004238289
base_plus_behavior,village_vote_candidate_states,final_test,56,0.6586059743954481,1.0,0.19780684943890023
no_spatial_features,village_vote_candidate_states,validation,36,0.6538461538461539,0.6808416572833049,0.17781802543557731
no_spatial_features,village_vote_candidate_states,final_test,56,0.6827880512091038,0.7545257324005581,0.190469427750916
no_risk_preference,village_vote_candidate_states,validation,36,0.698076923076923,0.6058750820902523,0.1767204865325536
no_risk_preference,village_vote_candidate_states,final_test,56,0.6678520625889047,0.6315486779302569,0.19106471470473613
no_role_claim_features,village_vote_candidate_states,validation,36,0.698076923076923,0.6058750820902523,0.1767204865325536
no_role_claim_features,village_vote_candidate_states,final_test,56,0.6678520625889047,0.6315486779302569,0.19106471470473613
full_legal_feature_set,village_vote_candidate_states,validation,36,0.698076923076923,0.6058750820902523,0.1767204865325536
full_legal_feature_set,village_vote_candidate_states,final_test,56,0.6678520625889047,0.6315486779302569,0.19106471470473613
