absolute_coefficient,coefficient,direction,feature,model_name
3.149706991080304,3.149706991080304,wolf_positive,speech_intent=false_accusation,full_legal_combined
3.149706991080304,3.149706991080304,wolf_positive,speech_subtype=deceptive_accusation,full_legal_combined
3.149706991080304,3.149706991080304,wolf_positive,deception_type=false_accuse,full_legal_combined
2.944626562961486,2.944626562961486,wolf_positive,speech_intent=deflection,full_legal_combined
2.944626562961486,2.944626562961486,wolf_positive,speech_subtype=redirect,full_legal_combined
2.944626562961486,2.944626562961486,wolf_positive,deception_type=deflect_suspicion,full_legal_combined
2.653767801717743,-2.653767801717743,village_positive,speech_subtype=role_claim,full_legal_combined
2.5640234839425107,-2.5640234839425107,village_positive,speech_intent=information_report,full_legal_combined
2.5640234839425107,-2.5640234839425107,village_positive,speech_subtype=seer_private_report,full_legal_combined
2.504220363231516,2.504220363231516,wolf_positive,speech_intent=trust_building,full_legal_combined
2.504220363231516,2.504220363231516,wolf_positive,speech_subtype=deceptive_trust,full_legal_combined
2.504220363231516,2.504220363231516,wolf_positive,deception_type=trust_building,full_legal_combined
2.346090035770371,-2.346090035770371,village_positive,behavioral_regime=deception_adaptive,full_legal_combined
2.339006691774062,-2.339006691774062,village_positive,behavioral_regime=trust_weighted_memory,full_legal_combined
2.263483137380249,2.263483137380249,wolf_positive,behavioral_regime=random_vote_speech,full_legal_combined
2.1607457083120587,2.1607457083120587,wolf_positive,behavioral_regime=balanced_social,full_legal_combined
2.1319241080766442,2.1319241080766442,wolf_positive,speaker_p_wolf,full_legal_combined
1.7817807562572558,-1.7817807562572558,village_positive,speech_intent=hunter_claim,full_legal_combined
1.6572509322588775,-1.6572509322588775,village_positive,speech_intent=witch_claim,full_legal_combined
1.1161229337163368,1.1161229337163368,wolf_positive,speaker_suspicion_score,full_legal_combined
1.0164097279494178,-1.0164097279494178,village_positive,speech_type=claim_role,full_legal_combined
0.9932224204426509,0.9932224204426509,wolf_positive,speech_intent=strong_accusation,full_legal_combined
0.9932224204426509,0.9932224204426509,wolf_positive,speech_subtype=high_certainty,full_legal_combined
0.924954017798402,-0.924954017798402,village_positive,speech_intent=vote_request,full_legal_combined
0.924954017798402,-0.924954017798402,village_positive,speech_subtype=vote_call,full_legal_combined
0.920668207718406,-0.920668207718406,village_positive,speech_intent=uncertainty,full_legal_combined
0.920668207718406,-0.920668207718406,village_positive,speech_subtype=question,full_legal_combined
0.8067283489212063,0.8067283489212063,wolf_positive,speech_type=question,full_legal_combined
0.6789887395882253,-0.6789887395882253,village_positive,speech_intent=accusation,full_legal_combined
0.6789887395882253,-0.6789887395882253,village_positive,speech_subtype=standard_accusation,full_legal_combined
0.6112509096575829,-0.6112509096575829,village_positive,speech_intent=vote_explanation,full_legal_combined
0.6112509096575829,-0.6112509096575829,village_positive,speech_subtype=reasoned_vote,full_legal_combined
0.49752059978920593,-0.49752059978920593,village_positive,speech_type=agree,full_legal_combined
0.4474351300899342,0.4474351300899342,wolf_positive,speech_type=accuse,full_legal_combined
0.4431702896899247,-0.4431702896899247,village_positive,speech_intent=trust_support,full_legal_combined
0.4431702896899247,-0.4431702896899247,village_positive,speech_subtype=trust_target,full_legal_combined
0.42861186267529433,-0.42861186267529433,village_positive,speech_intent=coordination,full_legal_combined
0.42861186267529433,-0.42861186267529433,village_positive,speech_subtype=group_plan,full_legal_combined
0.3134429313646412,-0.3134429313646412,village_positive,speech_intent=defense,full_legal_combined
0.3134429313646412,-0.3134429313646412,village_positive,speech_subtype=target_defense,full_legal_combined
0.3134429313646412,-0.3134429313646412,village_positive,speech_type=defend,full_legal_combined
0.31288827053174006,0.31288827053174006,wolf_positive,accusation_flag,full_legal_combined
0.30500386516651123,-0.30500386516651123,village_positive,speech_type=trust,full_legal_combined
0.29790551323220105,-0.29790551323220105,village_positive,speech_intent=neutral_statement,full_legal_combined
0.29790551323220105,-0.29790551323220105,village_positive,speech_subtype=low_information,full_legal_combined
0.29790551323220105,-0.29790551323220105,village_positive,speech_type=neutral,full_legal_combined
0.29492481272959403,0.29492481272959403,wolf_positive,tok:distraction,full_legal_combined
0.29492481272959403,0.29492481272959403,wolf_positive,tok:look,full_legal_combined
0.29492481272959403,0.29492481272959403,wolf_positive,tok:instead,full_legal_combined
0.29492481272959403,0.29492481272959403,wolf_positive,tok:pressure__distraction,full_legal_combined
0.29492481272959403,0.29492481272959403,wolf_positive,tok:distraction__look,full_legal_combined
0.29492481272959403,0.29492481272959403,wolf_positive,tok:look__player_target,full_legal_combined
0.29492481272959403,0.29492481272959403,wolf_positive,tok:player_target__instead,full_legal_combined
0.26837233821918505,0.26837233821918505,wolf_positive,deflection_flag,full_legal_combined
0.2668490256326846,-0.2668490256326846,village_positive,tok:see,full_legal_combined
0.2668490256326846,-0.2668490256326846,village_positive,tok:whether,full_legal_combined
0.2668490256326846,-0.2668490256326846,village_positive,tok:changes,full_legal_combined
0.2668490256326846,-0.2668490256326846,village_positive,tok:should__pressure,full_legal_combined
0.2668490256326846,-0.2668490256326846,village_positive,tok:pressure__player_target,full_legal_combined
0.2668490256326846,-0.2668490256326846,village_positive,tok:player_target__see,full_legal_combined
0.2668490256326846,-0.2668490256326846,village_positive,tok:see__whether,full_legal_combined
0.2668490256326846,-0.2668490256326846,village_positive,tok:whether__story,full_legal_combined
0.2668490256326846,-0.2668490256326846,village_positive,tok:story__changes,full_legal_combined
0.26659309012260507,-0.26659309012260507,village_positive,speech_intent=self_defense,full_legal_combined
0.26659309012260507,-0.26659309012260507,village_positive,speech_subtype=denial,full_legal_combined
0.26659309012260507,-0.26659309012260507,village_positive,speech_type=deny,full_legal_combined
0.21828842167750706,0.21828842167750706,wolf_positive,tok:do,full_legal_combined
0.21828842167750706,0.21828842167750706,wolf_positive,tok:focus,full_legal_combined
0.21828842167750706,0.21828842167750706,wolf_positive,tok:do__not,full_legal_combined
0.21828842167750706,0.21828842167750706,wolf_positive,tok:not__focus,full_legal_combined
0.21828842167750706,0.21828842167750706,wolf_positive,tok:focus__me,full_legal_combined
0.21828842167750706,0.21828842167750706,wolf_positive,tok:me__player_target,full_legal_combined
0.21828842167750706,0.21828842167750706,wolf_positive,tok:player_target__better,full_legal_combined
0.21828842167750706,0.21828842167750706,wolf_positive,tok:better__question,full_legal_combined
0.21096046860469622,-0.21096046860469622,village_positive,tok:should,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:obvious,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:threat,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:waiting,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:only,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:helps,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:player_target__obvious,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:obvious__threat,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:threat__waiting,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:waiting__only,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:only__helps,full_legal_combined
0.20263620710612157,0.20263620710612157,wolf_positive,tok:helps__wolf,full_legal_combined
0.1950798223175994,-0.1950798223175994,village_positive,role_claim_flag,full_legal_combined
0.17600896439471977,0.17600896439471977,wolf_positive,tok:there,full_legal_combined
0.17600896439471977,0.17600896439471977,wolf_positive,tok:vote__there,full_legal_combined
0.16223918599379333,0.16223918599379333,wolf_positive,tok:us,full_legal_combined
0.16223918599379333,0.16223918599379333,wolf_positive,tok:together,full_legal_combined
0.16223918599379333,0.16223918599379333,wolf_positive,tok:player_target__want,full_legal_combined
0.16223918599379333,0.16223918599379333,wolf_positive,tok:want__us,full_legal_combined
0.16223918599379333,0.16223918599379333,wolf_positive,tok:us__coordinate,full_legal_combined
0.16223918599379333,0.16223918599379333,wolf_positive,tok:coordinate__together,full_legal_combined
0.15995305525953762,0.15995305525953762,wolf_positive,tok:certain,full_legal_combined
0.15995305525953762,0.15995305525953762,wolf_positive,tok:they,full_legal_combined
