behavioral_regime_id,decision_id,hybrid_matches_ml,hybrid_matches_neither,hybrid_matches_rule,hybrid_score_range,hybrid_top_candidate,hybrid_top_is_special,hybrid_top_role,ml_rule_disagree,ml_score_range,ml_top_candidate,ml_top_is_special,ml_top_role,policy_name,round,rule_score_range,rule_top_candidate,rule_top_is_special,rule_top_role,seed
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_continuous_frozen_ml_round_1_decision_1,0,0,1,0.8665884111325577,3,0,villager,1,0.048882253902134964,7,0,villager,continuous_frozen_ml,1,0.03600000000000003,3,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_continuous_frozen_ml_round_2_decision_2,1,0,0,0.9093085106382979,6,1,hunter,1,0.04437308265745199,6,1,hunter,continuous_frozen_ml,2,0.3008000000000002,4,1,witch,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_continuous_frozen_ml_round_3_decision_3,1,0,1,0.9674733785091972,7,0,villager,0,0.03873482263034911,7,0,villager,continuous_frozen_ml,3,0.2065999999999999,7,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_continuous_frozen_ml_round_4_decision_4,0,0,1,0.6042032984795498,9,0,villager,1,0.037293986590367756,8,1,seer,continuous_frozen_ml,4,0.3522399999999999,9,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule_round_1_decision_1,0,0,1,0.8665884111325577,3,0,villager,1,0.048882253902134964,7,0,villager,existing_rule,1,0.03600000000000003,3,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule_round_2_decision_2,1,0,0,0.9093085106382979,6,1,hunter,1,0.04437308265745199,6,1,hunter,existing_rule,2,0.3008000000000002,4,1,witch,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule_round_3_decision_3,0,0,1,0.9168013602496117,6,1,hunter,1,0.03367062616075245,7,0,villager,existing_rule,3,0.32777999999999974,6,1,hunter,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_rule_round_4_decision_4,1,0,1,1.0,9,0,villager,0,0.013159458100163612,9,0,villager,existing_rule,4,0.10000000000000009,9,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_1_decision_1,0,0,1,0.8665884111325577,3,0,villager,1,0.048882253902134964,7,0,villager,existing_with_ml_shadow,1,0.03600000000000003,3,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_2_decision_2,1,0,0,0.9093085106382979,6,1,hunter,1,0.04437308265745199,6,1,hunter,existing_with_ml_shadow,2,0.3008000000000002,4,1,witch,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_3_decision_3,0,0,1,0.9168013602496117,6,1,hunter,1,0.03367062616075245,7,0,villager,existing_with_ml_shadow,3,0.32777999999999974,6,1,hunter,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_4_decision_4,1,0,1,1.0,9,0,villager,0,0.013159458100163612,9,0,villager,existing_with_ml_shadow,4,0.10000000000000009,9,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_high_confidence_shadow_round_1_decision_1,0,0,1,0.8665884111325577,3,0,villager,1,0.048882253902134964,7,0,villager,high_confidence_shadow,1,0.03600000000000003,3,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_high_confidence_shadow_round_2_decision_2,1,0,0,0.9093085106382979,6,1,hunter,1,0.04437308265745199,6,1,hunter,high_confidence_shadow,2,0.3008000000000002,4,1,witch,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_high_confidence_shadow_round_3_decision_3,0,0,1,0.9168013602496117,6,1,hunter,1,0.03367062616075245,7,0,villager,high_confidence_shadow,3,0.32777999999999974,6,1,hunter,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_high_confidence_shadow_round_4_decision_4,1,0,1,1.0,9,0,villager,0,0.013159458100163612,9,0,villager,high_confidence_shadow,4,0.10000000000000009,9,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only_round_1_decision_1,0,0,1,0.8665884111325577,3,0,villager,1,0.048882253902134964,7,0,villager,ml_first_kill_only,1,0.03600000000000003,3,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only_round_2_decision_2,1,0,0,0.9093085106382979,6,1,hunter,1,0.04437308265745199,6,1,hunter,ml_first_kill_only,2,0.3008000000000002,4,1,witch,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only_round_3_decision_3,0,0,1,0.9168013602496117,6,1,hunter,1,0.03367062616075245,7,0,villager,ml_first_kill_only,3,0.32777999999999974,6,1,hunter,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_kill_only_round_4_decision_4,1,0,1,1.0,9,0,villager,0,0.013159458100163612,9,0,villager,ml_first_kill_only,4,0.10000000000000009,9,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_two_kills_round_1_decision_1,0,0,1,0.8665884111325577,3,0,villager,1,0.048882253902134964,7,0,villager,ml_first_two_kills,1,0.03600000000000003,3,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_two_kills_round_2_decision_2,1,0,0,0.9093085106382979,6,1,hunter,1,0.04437308265745199,6,1,hunter,ml_first_two_kills,2,0.3008000000000002,4,1,witch,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_two_kills_round_3_decision_3,1,0,1,0.9674733785091972,7,0,villager,0,0.03873482263034911,7,0,villager,ml_first_two_kills,3,0.2065999999999999,7,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_first_two_kills_round_4_decision_4,1,0,1,1.0,7,0,villager,0,0.036916661867768374,7,0,villager,ml_first_two_kills,4,0.3459399999999999,7,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_single_random_kill_round_1_decision_1,0,0,1,0.8665884111325577,3,0,villager,1,0.048882253902134964,7,0,villager,ml_single_random_kill,1,0.03600000000000003,3,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_single_random_kill_round_2_decision_2,1,0,0,0.9093085106382979,6,1,hunter,1,0.04437308265745199,6,1,hunter,ml_single_random_kill,2,0.3008000000000002,4,1,witch,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_single_random_kill_round_3_decision_3,1,0,1,0.9674733785091972,7,0,villager,0,0.03873482263034911,7,0,villager,ml_single_random_kill,3,0.2065999999999999,7,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_ml_single_random_kill_round_4_decision_4,1,0,1,1.0,7,0,villager,0,0.036916661867768374,7,0,villager,ml_single_random_kill,4,0.3459399999999999,7,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_selective_ml_override_round_1_decision_1,0,0,1,0.8665884111325577,3,0,villager,1,0.048882253902134964,7,0,villager,selective_ml_override,1,0.03600000000000003,3,0,villager,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_selective_ml_override_round_2_decision_2,1,0,0,0.9093085106382979,6,1,hunter,1,0.04437308265745199,6,1,hunter,selective_ml_override,2,0.3008000000000002,4,1,witch,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_selective_ml_override_round_3_decision_3,0,0,1,0.9168013602496117,6,1,hunter,1,0.03367062616075245,7,0,villager,selective_ml_override,3,0.32777999999999974,6,1,hunter,220
baseline_speech_enabled,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_selective_ml_override_round_4_decision_4,1,0,1,1.0,9,0,villager,0,0.013159458100163612,9,0,villager,selective_ml_override,4,0.10000000000000009,9,0,villager,220
deception_enabled,stage2b_seed_220_base_1_regime_deception_enabled_policy_continuous_frozen_ml_round_1_decision_1,0,0,1,0.7481920868135314,5,0,villager,1,0.05942941559395698,7,0,villager,continuous_frozen_ml,1,0.03600000000000003,5,0,villager,220
deception_enabled,stage2b_seed_220_base_1_regime_deception_enabled_policy_continuous_frozen_ml_round_2_decision_2,0,0,1,0.7799713596385349,6,1,witch,1,0.030965772958365667,5,0,villager,continuous_frozen_ml,2,0.3522400000000001,6,1,witch,220
deception_enabled,stage2b_seed_220_base_1_regime_deception_enabled_policy_continuous_frozen_ml_round_3_decision_3,1,0,0,0.6751359623111806,4,0,villager,1,0.03433179081266324,4,0,villager,continuous_frozen_ml,3,0.10057999999999989,1,0,villager,220
deception_enabled,stage2b_seed_220_base_1_regime_deception_enabled_policy_continuous_frozen_ml_round_4_decision_4,1,0,0,0.28810026055660276,3,1,hunter,1,0.06648926918203946,3,1,hunter,continuous_frozen_ml,4,0.14934000000000003,10,1,seer,220
deception_enabled,stage2b_seed_220_base_1_regime_deception_enabled_policy_existing_rule_round_1_decision_1,0,0,1,0.7481920868135314,5,0,villager,1,0.05942941559395698,7,0,villager,existing_rule,1,0.03600000000000003,5,0,villager,220
deception_enabled,stage2b_seed_220_base_1_regime_deception_enabled_policy_existing_rule_round_2_decision_2,0,0,1,0.7799713596385349,6,1,witch,1,0.030965772958365667,5,0,villager,existing_rule,2,0.3522400000000001,6,1,witch,220
deception_enabled,stage2b_seed_220_base_1_regime_deception_enabled_policy_existing_rule_round_3_decision_3,1,0,0,0.19068987839055362,5,0,villager,1,0.026767820621726335,5,0,villager,existing_rule,3,0.08391999999999977,1,0,villager,220
